Absent Minded|Bouncy Bullets,The Membrane|The Membrane's shots bounce 4 times and become homing.
Behold!|Trank Gun,Void Marshal,Com4nd0,Machine Pistol,M1911,Eye of the Beholster|Increases damage by 30%, magazine size by 50%, spread by 50%, decreases reload time by 33%, and slows down enemy bullets by 20% when one of the guns is held. When Eye of the Beholster is held, the other five guns rotate around the player and shoot at nearby enemies, still using up ammo from each gun. Obtainable through the Beholster Shrine, although it can be activated without.
Beta Ray|Gamma Ray,Irradiated Lead|Gamma Ray's beam grows larger and deals more damage.
Betrayer's Lies|Betrayer&#39;s Shield,Lies|Betrayer's Shield gains infinite ammo, a much larger magazine size, and extremely high fire rate. Like other guns with infinite ammo, it cannot reveal secret rooms.
Big Shotgun Gun|BSG,Big Shotgun|Big Shotgun fires 4 projectiles instead of 3. The player also has an extended roll while holding the Big Shotgun.
Birthright|Baby Good Shelleton,Shellegun|While Shellegun is held, Baby Good Shelleton alternates between its laser and a wide-angle shot similar to the Shelleton enemy.
Blade Runner|Deck4rd,Origuni|Increases the magazine size of both weapons by 50%.
Blammo!|Shell,Bullet|The guns are dual-wielded.
Blank Generation|Elder Blank,Blank Companion&#39;s Ring|Companion changes appearance to be older, automatically fires a second blank after Elder Blank's blank duration ends.
Blast Crown|Crown of Guns,Blast Helmet|Crown of Guns has a chance to fire explosives.
Blessing and a Curse|Cursed Bullets,Silver Bullets|Every jammed enemy killed grants a persistent, additive 0.0025 (0.25%) damage buff.
Block Party|Mustache,Brick Breaker|Increases the size of Brick Breaker's shells by 50%, and increases their damage by 25%.
Blunderbrace|Macho Brace,Blunderbuss|Blunderbuss gains 50% increased shot speed and 25% larger bullets along with a shorter charge time.
Bomberpal|Bomb,Lil&#39; Bomber|Lil' Bomber fires two bombs instead of one, charges twice as fast, and has 40% lower reload time.
Breakfast Club|Wind Up Gun,Seven-Leaf Clover|Halves the reload time of Wind Up Gun, increases fire rate by 60%, and increases damage by 50%. Increases magazine size to 27, and all but the last 10 shots of each magazine will be stronger piercing lasers.
Buggin' Out|Gungeon Ant,Bug Boots|While Gungeon Ant is held, Bug Boots spread oil instead of poison, and the player is immune to fire.
Bullet or the Egg|Chicken Flute,The Scrambler|Scrambler shots become larger and split into 10 seekers instead of 5.
Bubble Trouble|Bubble Blaster,Siren|Siren now shoots a single, large bullet, and Bubble Blaster gains homing shots.
Buckle Up|Ammo Belt,Gungine|Gungine has a chance to not consume ammo upon firing. Continuously moving with Gungine held gives the player a yellow glow, significantly increasing Gungine's rate of fire. The glow disappears if the player stops moving. If the player switches to another gun while outlined, they can keep the rate of fire bonus.
Buster Gun|Excaliber,RPG|Excaliber fires 3 or 4 projectiles in a cone when reloaded.
Camera Shy|Camera,Chaff Grenade|Camera has a chance to stun enemies.
Captain Plant It|Unity,Portable Turret|Portable Turret gains Unity's damage bonus.
Cash Rules Everygun Around Me|Brick of Cash,Briefcase of Cash|When firing any gun, occasionally fires money which charms enemies.
Cat Friend|Bait Launcher,Cat Claw|Bait Launcher's tigers attach several Cat Claw needles onto enemies when they maul them.
Chain Lightning|Shock Rounds,Shadow Bullets|Increases the range that Shock Rounds connects bullets with electricity. Lightning can also connect to enemy bullets.
Chance On Hit|Gunderfury,Silver Bullets|Gunderfury shots have a chance to slow enemies.
Chest High is the Best High|Mourning Star,Cog of Battle|Increases damage by 25% and activates the Macho Brace effect after flipping a table. This version of the Macho Brace effect is different to the actual item's, as it increases damage by 100% for a brief time rather than Macho Brace's 30%.
Circle of Bricks|Brick Breaker,Tetrominator|The guns are dual-wielded.
Clawntlet|Cat Claw,Gunknight Gauntlet|The player releases a spiral of bullets whenever they take damage.
Cold 1896|Colt 1851,Cold 45|The guns are dual-wielded. Both guns' magazine sizes are doubled.
Cold Ones|Frost Bullets,Frost Ammolet|Significantly increases the chance of firing ice bullets.
Comammo Belt|Com4nd0,Ammo Belt|Com4nd0 gains double magazine size and changes appearance.
Contractual Obligation|Devolver,Gungine|A pool of oil spawns underneath enemies killed with Gungine.
Cool Kids Club|Strafe Gun,Devolver|Continuously moving with Strafe Gun held gives the player a yellow glow, increasing movement speed. The glow disappears if the player stops moving.
Cormorant|Gunknight Gauntlet,Gunknight Helmet,Gunknight Greaves,Gunknight Armor|Transforms the player into Cormorant. Removes reload times from all guns entirely. Increases curse by 3.
Cosmic Horror|Abyssal Tentacle,Black Hole Gun|Black holes fire three tentacles while active.
Crave the Glaive|Kruller Glaive,Boomerang|Kruller Glaive will try to hit every enemy in the room before returning, similar to the Boomerang.
Crestfallen Soul|Gun Soul,Crestfaller|Increases dodge roll speed by 20%. Crestfaller deals 50% more damage if the player dies and has not yet retrieved their soul.
Criticaliber|Vorpal Gun,Bullet Idol|After taking damage with Vorpal Gun held, the next Vorpal Gun shot is guaranteed to be a critical shot.
Cryptic Cryptids|Phoenix,Fossilized Gun|Phoenix shoots out rows of fire on the ground. Both guns pierce enemies and deal additional damage. The player is immune to fire while the guns are held.
Crystal Horn|Luxin Cannon,Unicorn Horn|Luxin Cannon gets three crystal shots at the end of each magazine, and each crystal shot bursts into many more crystals. Additionally, when an enemy is killed with Unicorn Horn, they explode into Luxin Cannon projectiles.
Dead Cell|Railgun,Fortune&#39;s Favor|Decreases Railgun's charge time and increases its damage to bosses by 30%.
Dead Place|Mine Cutter,Melted Rock|Increases Mine Cutter's damage by 25%.
Dead Prez|Dueling Pistol,Derringer|Derringer fires bouncing Dueling Pistol shots. Dueling Pistol fires a wide spread of 4 bullets alongside its normal shots.
Deadly Distraction|Monster Blood,Decoy|Decoy creates a large poison pool when attacked.
Deadlier Distraction|Explosive Decoy,Monster Blood|Decoy explodes and creates a large poison pool when attacked.
Death Square|Dueling Laser,Dueling Pistol|Damaging enemies with Dueling Pistol rapidly recharges Dueling Laser.
Decorated|Galactic Medal of Valor,Hegemony Carbine|Hegemony Carbine fires triple shots.
Detective Magnum|Magnum,38 Special|The guns are dual-wielded.
Detective Mode|Badge,38 Special|Increases 38 Special's maximum ammo to 600, halves reload time, and increases damage by 20%. The police officer will also reveal the contents of nearby chests.
Devil's Plaything|Armor of Thorns,Bullet Idol|Bullet Idol orbits the player, blocking enemy shots.
Diamond Weapon|Frost Bullets,Omega Bullets|The last shot of each magazine is guaranteed to be an ice bullet.
Don't Hoot the Messenger|Dungeon Eagle,Owl|Dungeon Eagle's charged shots gain significant knockback.
Double Down|Gunboots,Springheel Boots|Removes the cooldown from Gunboots; every roll will fire bullets.
Double Double Helix|Helix,Helix Bullets|Helix Gun Fires 4 projectiles per shot instead of 2, damage is increased by 25%, and shot speed is increased by 50%.
Double Rainbow|Unicorn Horn,Stuffed Star|While Stuffed Star is active, five Unicorn Horn beams are fired from the player in all directions.
Dr Worm|Heck Blaster,Drum Clip|Heck Blaster ammo replenishes slowly.
Dragunice|Heart of Ice,Dragunfire|Dragunfire shoots a blue fireball that has a chance to burn and/or freeze enemies.
Dualing Pistol|Helix Bullets,Dueling Pistol|Dueling Pistol changes appearance and its shots seek enemies.
Dumb Smart Bullets|Homing Bullets,Scattershot|Bullets unaffected by Homing Bullets become larger and deal 50% more damage.
Dwarven Stout|Stout Bullets,Double Vision|Double Vision triples shots instead of doubling them.
EGG MURDERER|The Scrambler,Light Gun|Light Gun's ducks periodically send out two Scrambler shots perpendicular to itself as it travels.
Elder Blank Bullets|Blank Bullets,Elder Blank|Blank Bullets's blank effect reflects bullets instead of deleting them.
Emerald Weapon|Omega Bullets,Irradiated Lead|The last shot of each magazine is guaranteed to be a poison bullet.
Emergency Help|Flare Gun,Medkit|Reduces the reload time of Flare Gun by 66% and increases its damage by 50%. While Flare Gun is held, random enemies will periodically have explosions erupt around them, damaging them and hurting other enemies around them.
Empty Vessels|Bottle,Holey Grail|If damage is taken while Bottle is empty, it fills with a purple flame that deals 100 damage to all enemies in the room upon use.
Enter the Fruitgeon|Orange Guon Stone,Orange|Orange Guon Stone fires oranges at enemies, dealing 7 damage.
Extreme Operation|Ammo Synthesizer,Melted Rock|Using Melted Rock causes corpses to shoot at enemies.
Fairy Bow|Bomb,Bow|Halves the charge time of Bow and adds a chance of firing an extra arrow, similar to the effect of Shadow Bullets.
Fightknives|Fightsabre,Knife Shield|Activating Knife Shield while holding Fightsabre makes the spawned knives reflect bullets before getting destroyed. Knives spawned this way are tinted green.
Fightsabre Training|Blast Helmet,Fightsabre|While Fightsabre is held, an orbital appears that blocks enemy shots.
Flat Stanley|Box,Mailbox|Reduces the magazine size of Mailbox by 50% and reduces its reload time by 33%.
Friend to Gun and Bullet|+1 Bullets,Potion of Gun Friendship|While Potion of Gun Friendship is active, a copy of the player's current gun appears and automatically fires at nearby enemies.
Frosty Distraction|Decoy,Heart of Ice|Decoy freezes enemies that attack it.
Frostier Distraction|Heart of Ice,Explosive Decoy|Decoy freezes enemies that attack it and explodes after a short period.
Frosty the Bullet Tyrant|Frost Bullets,Snowballer|Snowballer shots increase in size and damage the further they travel.
Full Circle|Tangler,Rolling Eye|Tangler becomes round, turns enemies round instead of rectangular, and gains increased damage and reload time.
Garbage Collecting|Trashcannon,Unity|Hitting an enemy with Trashcannon causes it and its bullets to briefly freeze.
Get Equipped With -A-|Megahand,Balloon Gun|Enables Air Shooter mode which fires Balloon Gun tornadoes when uncharged. Modes can be switched by reloading Megahand with a full magazine.
Get Equipped With -C-|Bullet Bore,Megahand|Enables Crash Bomber mode, which fires a Bullet Bore bullet at full charge. Modes can be switched by reloading Megahand with a full magazine.
Get Equipped With -H-|Hot Lead,Megahand|Enables Atomic Fire mode which fires piercing fireballs when uncharged that set everything in their path on fire. Modes can be switched by reloading Megahand with a full magazine.
Get Equipped With -M-|Megahand,Buzzkill|Enables Metal Blade mode which fires Buzzkill shots when uncharged. Modes can be switched by reloading Megahand with a full magazine.
Get Equipped With -Q-|Megahand,Boomerang|Enables Quick Boomerang mode which fires small boomerang shots that stun enemies when uncharged. Modes can be switched by reloading Megahand with a full magazine.
Get Equipped With -W-|Mahoguny,Megahand|Enables Leaf Shield mode, where uncharged shots fire leaves while charged shots fire regular charged Megahand shots. Killing enemies in this mode spawns leaves that orbit the player, blocking enemy shots. Modes can be switched by reloading Megahand with a full magazine.
Gilded Tables|Gilded Bullets,Table Tech Money|Tables have a 15% chance to be golden. Flipping a golden table will cause all normal enemies in the room to drop 2 to 6 extra  upon death. Golden tables will not automatically flip due to Table Tech Money.
Green Thumb|Pea Shooter,Knight&#39;s Gun|This synergy does nothing.
Grouch|Junk,Trashcannon|Increases Trashcannon damage by 25%.
Gruber's Bane|Backup Gun,Shadow Bullets|Backup Gun has a 100% chance of firing shadow bullets.
Gunderlord|Ice Breaker,Patriot|Patriot shots are connected with electricity. Ice Breaker fires single high-velocity shots instead of shotgun spreads, and Ice Breaker ammo slowly regenerates over time.
Gungeonite|Gamma Ray,Clear Guon Stone|Gamma Ray leaves poison on the ground.
Gunnerang|Utility Belt,Boomerang|Increases the damage of thrown guns by 50%.
Guns and Deviltry|Winchester Rifle,Grey Mauser|Increases the guns' damage by 25%, and they fire a knife whenever reloading.
Hacker|Lower Case r,Bracket Key|Increases the damage of Lower Case r by 25%.
Hail, Satan!|Pitchfork,Demon Head|Demon Head gains piercing.
Hail To The King|Oiled Cylinder,Yari Launcher|Increases Yari Launcher's magazine size by 50% and damage by 20%.
Hammer and Anvil|Cobalt Hammer,Anvillain|Firing Cobalt Hammer's charge attack also sends out anvils in all directions.
Hammer and Nail|Nail Gun,H4mmer|Increases max ammo of both guns by 50%. Nail Gun deals triple damage. H4mmer gets 5 hammer shots at the end of every magazine.
Hard Light|Hyper Light Blaster,Light Gun|Hyper Light Blaster gains homing and its maximum ammo is increased by 50%. Light Gun has a chance to regenerate ammo when hitting enemies.
Heads Up|GuNNER,Stone Dome|Stone Dome fires homing skulls.
Heart-Shaped Box|Heart Lunchbox,Lament Configurum|Lament Configurum heals the player instead of dealing damage.
Heavy Artillery|Vulcan Cannon,Com4nd0|The guns are dual-wielded.
Heavy Jolt|Heavy Bullets,Jolter|Jolter changes appearance, gains increased knockback and increased accuracy.
Hidden Tech Big Shotgun|Big Shotgun,Table Tech Shotgun|Table Tech Shotgun shoots Big Shotgun rounds when Big Shotgun is held.
Hidden Tech Flare|Hot Lead,Table Tech Heat|Flipping tables ignite enemies in higher damage green fire. Range is also greatly increased
Holy Bell|Trident,Aged Bell|Killing an enemy with Trident creates a large circular area that slows time.
Hornucopia|Banana,Charm Horn|Banana splits into 5 new bananas instead of 3 upon impact, one of which will explode into 4 more bananas. Using Charm Horn fires a banana at each enemy it charms.
Hot Head|Stone Dome,The Kiln|Stone Dome shots burn enemies.
Hot Ones|Copper Ammolet,Hot Lead|Significantly increases the chance of firing fire bullets.
Hot Rolls|Cloranthy Ring,Ring of Fire Resistance|Rolling creates a trail of fire.
Hotter Than Heck|Flame Hand,Pitchfork|Increases the size and damage of the guns by 25% and grants immunity to fire.
http://merch.devolverdigital.com|Mustache,Microtransaction Gun|Doubles Microtransaction Gun's damage.
Human Shield|Crisis Stone,Melted Rock|Upon use, Melted Rock spawns a Betrayer's Shield shield on every corpse.
Hunter-Seeker Tables|Com4nd0,Table Tech Rocket|Table rockets home in on enemies while Com4nd0 is held.
Hydro Pump|Escape Rope,Mega Douser|Increases the size, knockback, speed, and damage of Mega Douser's stream.
Hyper Beam|Pig,Heroine|When Pig dies, Heroine's ammo is fully refilled and it temporarily switches to Hyper Beam mode, where uncharged shots deal 80 damage and charged shots deal 160 damage. Heroine will automatically revert to its original form after 30 seconds.
I Studied The Blade|Super Meat Gun,Buzzkill|The guns are dual-wielded.
Ice Beam|Heroine,Frost Bullets|Enables Ice Beam mode, which fires a projectile that instantly freezes an enemy when fully charged. Modes can be switched by reloading Heroine with a full magazine.
Ice Water|Snowballer,Mega Douser|Mega Douser freezes enemies and leaves a trail of ice. Both weapons deal 30% more damage, and the size of the Mega Douser's stream is increased.
In The Mood!|Strafe Gun,BSG,Thunderclap|Slightly increases movement speed and increases the shot speed of the guns by 25%.
Inconsistent Scale|Bee Hive,Gungeon Ant|While Gungeon Ant is held, creates a beehive orbital that spawns bees.
Insight|Huntsman,Trick Gun|A creature appears at entrances to secret rooms, revealing their location.
It's Your Destiny|The Exotic,Ice Breaker|Ice Breaker fires single high-velocity shots instead of shotgun spreads, and slowly regenerates ammo over time. The Exotic's rockets split into 14 smaller rockets instead of 7.
J am|Alpha Bullet,Omega Bullets|Reduces reload times by 33%.
Jolly Roger|VertebraeK-47,Skull Spitter|Skull Spitter fires three skulls per shot, and skulls are linked like VertebraeK-47 shots. VertebraeK-47 can freeze enemies.
Jotun Time|Frost Giant,Heart of Ice|Reloading chills and freezes nearby enemies. Thrown guns deal 180% more damage.
Jumping... is useless|Quad Laser,Moonscraper|Quad Laser shots fire four continuous lasers in a cross formation as they travel. Doubles Quad Laser's shot speed and triples its reload time.
Junk Mail|Mailbox,Magazine Rack|Mailbox only shoots packages while Magazine Rack is active.
Just In Case|Lower Case r,Bomb|Lower Case r becomes a capital letter R and transforms into a one shot rocket launcher. It fires the word ROCKET with cloud sprites when shot, and creates a cartoony BOOM cloud when it hits something.
Just Shoot Me|Magazine Rack,Camera|Magazine Rack shoots at nearby enemies while it is active and Camera is held.
Kage Bunshin|Shadow Bullets,Decoy|Using Decoy spawns a shadow clone of the player that mirrors their movements and fires towards the crosshair whenever the player fires.
Keep The Change|Blank Companion&#39;s Ring,M16|Blank Companion's Ring will sometimes activate when M16 empties its magazine.
Keeping The Beat|Metronome,Drum Clip|Metronome grants +4% damage per kill instead of +2%, and maxes out at +250% damage instead of +150%. Metronome's icon color goes from red to purple to grey instead of ending at red.
Key Witness|Master of Unlocking,Shelleton Key|Occasionally fires an AKEY-47 shot whenever the player fires a gun.
The Killing Joke|AK-47,JK-47|The guns are dual-wielded.
Kinjutsu|Decoy,Shadow Clone|Shadow Clone spawns three clones.
Knight Time|Gunknight Greaves,Ballistic Boots|Taking damage will briefly stop time.
Kung Fu Hippie, Rappin' Surfer|Rad Gun,Sunglasses|Increases Rad Gun's magazine size to 20, and decreases its reload speed, giving more time to hit the mark. Also grants 1.33 coolness, makes the skateboard pink, and turns the hat backwards.
Land Among The Stars|Moonscraper,Crescent Crossbow|Killing enemies with Moonscraper has a chance to send out three planets, which damage enemies and start orbiting the player if they fail to hit an enemy.
Laser Light Show|Laser Rifle,Scattershot|Laser Rifle becomes blue and gold, and fires 3 sets of 3 shots in a spread per trigger pull. Each shot bounces once.
Liches Get Stitches|Lichy Trigger Finger,Riddle of Lead|Grants a large attack speed increase for a short duration after an enemy is killed.
Like Shooting Fish|Barrel,Backup Gun|A fish pops out of the barrel and fires bullets. The last shot of each magazine fires a fish that flops around on the ground and fires at enemies.
Love/Hate|Shotgun Full of Love,Shotgun Full of Hate|The guns are dual-wielded.
Lumberjacked|Mahoguny,Huntsman|Increases the damage of the guns by 25%.
Mad Cats|Cat Bullet King Throne,3rd Party Controller|The bullets shot from Cat Bullet King Throne home in on enemies.
Magazine Clips|Drum Clip,Magazine Rack|Magazine Rack's radius doubles.
Mass Cutter|Mine Cutter,Mass Shotgun|Whenever a Mass Shotgun shot splits, a cone of Mine Cutter lasers is fired.
Meltdown|Gamma Ray,Big Boy|Gamma Ray branches twice to form a spread of 5 beams. Using Big Boy refills 100 Gamma Ray ammo.
Mine Craft|Mine Cutter,Cluster Mine|Mines created by Cluster Mine home in on enemies.
Mirror Shield|Shield of the Maiden,Rolling Eye|Shield of the Maiden reflects enemy bullets while active.
MM6 Mini Rocket|Jetpack,Backpack|Activating Jetpack fires a rocket in the direction of the crosshair. This has an approximate 5 second cooldown.
Mmmmmmmmm MMMMmm!|M1,M16,M1911|Increases the damage, maximum ammo, and rate of fire of the guns by 25%.
Monsters and Monocles|Teapot,Mustache|Increases the ignition range of Teapot's reload effect.
Moonplanet|Moonscraper,Mr. Accretion Jr.|A moon orbits the player that blocks enemy shots.
Mr. Shadow|Zorgun,Shadow Bullets|Zorgun Shadow Bullets become the random explosives Zorgun fires as its last shot.
Monster Grub|Shotgrub,Monster Blood|Shotgrub reloads faster and its bullets gain homing.
Napalm B|Mega Douser,Napalm Strike|Mega Douser's water spreads fire instead of extinguishing it.
No Odd Job|Makarov,Klobbe|The guns are dual-wielded. Increases damage by 20% and spread by 60%, decreasing accuracy.
One Fish Two Fish|Helix Bullets,Barrel|With each shot, Barrel fires a normal blue fish and a red fish that sets enemies on fire.
Orrery|Mr. Accretion Jr.,Orbital Bullets|Planets fired by Mr. Accretion Jr. have smaller bullets orbiting them like moons; these bullets persist when the missed shots start orbiting the player.
Outer Limits|Mr. Accretion Jr.,Singularity|Firing three planets into Singularity's black hole causes it to explode and deal 100 damage to all enemies in the room.
Over Dose|Heavy Bullets,Devolver|Heavy Bullets no longer decreases shot speed.
Paper Lanterns|Origuni,Balloon Gun|While holding either gun in a room with enemies, paper lanterns periodically spawn, which drift towards enemies and deal damage.
Parchmental|Map,Origuni|Each Origuni shot fires two maps.
Particle Accelerator|Particulator,Laser Sight|Whenever a smaller bullet hits an enemy, a laser is automatically fired in its direction.
Pilot Wingsman|Wingman,Alien Engine|Wingman fires four rockets at a time.
Plant Power|Triple Gun,Broccoli|Triple Gun reaches its laser beam phase earlier.
Plasma Beam|Heroine,Hot Lead|Enables Plasma Beam mode, which fires a fire laser when uncharged and a large piercing fire projectile when charged. Modes can be switched by reloading Heroine with a full magazine.
Porkulent|Pig,Ring of Miserly Protection|Allows the player to make purchases without losing the  Ring.
Poseigun|Trident,Crown of Guns|Trident fires a spread of three beams per shot, no longer benefits from rolling, has its magazine size increased to 8, and has its fire rate reduced greatly. Crown of Guns randomly fires Trident beams.
Powerhouse of the Cell|Evolver,Antibody|Evolver evolves one stage.
Praise the Gun|Old Knight&#39;s Flask,Gun Soul|Dodge roll recovery time is reduced. A bonfire spawns in every Shop and elevator to the next floor. If the player dies, they will respawn at the last bonfire they activated instead of at the start of the floor.
Primitive Shapes|Quad Laser,Tangler|Tangler's shots become much larger and deal 50% more damage, but travel very slowly. Quad Laser's shots become rectangles and travel faster.
Pulp Gungeon|Orange,M1911|A copy of M1911 orbits the player and fires whenever the player fires.
Queen of Hearts|Coin Crown,Heart Purse|When at full health, picking up hearts will turn them to coins.
Quick and the Gundead|Heart Holster,Hip Holster|Shots fired by Hip Holster home in on enemies.
RAIDEN|Space Friend,Raiden Coil|Increases Raiden Coil's max ammo capacity by 25%. Pairs of bullets are fired alongside the laser. Massively reduces ammo consumption.
Raizo's Stuff|Bloodied Scarf,Grappling Hook|Bullets shot while being pulled with Grappling Hook gain homing.
Recycling Bin|Trashcannon,Starpew|Trashcannon becomes a recycling bin with higher damage and a larger magazine size, and no longer creates poison projectiles.
The Red Hood|Wolf,Huntsman|While Huntsman is held, Wolf's attacks will significantly weaken enemies.
Regular Old Guns|AK-47,Regular Shotgun|Quadruples the guns' rate of fire but decreases their damage by 25%.
Resourceful Indeed,|Resourceful Sack,Partially-Eaten Cheese,Elimentaler,Rat Boots|Player becomes the&#160;Resourceful Rat. This prevents items from being stolen when they're left behind in rooms.
Revolution|Ballot,Dueling Pistol|Increases the damage of Dueling Pistol by 25%, and allows its bullets to bounce five times instead of twice.
Rubenstein's Monster|RUBE-ADYNE Prototype,RUBE-ADYNE MK.II|The two guns are combined to form Rubenstein's Monster.
Ruby Weapon|Omega Bullets,Hot Lead|The last shot of each magazine is guaranteed to be a fire bullet.
Running Blades|Deck4rd,Knife Shield|Killing an enemy with Deck4rd has a high chance to spawn a Knife Shield knife.
Rabid|Angry Bullets,Lower Case r|Lower Case r spells out LOSER, DORK, CHUMP, NOODLE, and TAFFER.
Radiant|Lower Case r,Silver Bullets|Lower Case r spells out SILVER, BLESSED, and WEREWOLF.
Ravishing|Charming Rounds,Lower Case r|Lower Case r spells out HANDSOME, CHARM, and CUTE.
Reactive|Lower Case r,Explosive Rounds|Lower Case r spells ROCKET, BOOM, KABOOM, and POW when fired and rounds explode.
Reanimate|Lower Case r,Ghost Bullets|Lower Case r spells out SPOOKY, GHOST, and BOO.
Reinforced|Lower Case r,+1 Bullets|Lower Case r spells out BULLET+1.
Remnant|Lower Case r,Omega Bullets|When firing Lower Case r, adds an omega letter after each BULLET.
Replete|Lower Case r,Finished Gun|Lower Case r spells out COWABUNGA, BOOYAKASHA, THANK YOU, THANKS, HASTA LA VISTA, TOODLES, GOODBYE, FAREWELL and GAME OVER.
Research|Book of Chest Anatomy,Lower Case r|Lower Case r spells out CHEST and MIMIC. Can be used to open locked chests.
Resplendent|Lower Case r,Gilded Bullets|Lower Case r spells out CASH, COINS, SHELLS, and GOLD.
Root|Lower Case r,Alpha Bullet|When firing Lower Case r, adds an alpha letter before each BULLET.
Runic|Lower Case r,Magic Bullets|Lower Case r spells out ABRA and KADABRA.
Sausage and Peppers|Meatbun,Gungeon Pepper|Significantly increases the radius of Gungeon Pepper's damaging aura, and Meatbun heals five hearts.
Saved the Best for Last|Hip Holster,Ruby Bracelet|Shots fired by Hip Holster explode.
Savior of the Universe|Camera,Flash Ray|Flash Ray's shots gain unlimited piercing, a thicker beam, one bounce, and increased fire rate. When reloaded from an empty clip, Flash Ray produces a flash that hits all enemies in the room, like Camera. Camera fires 2 laser beams when fired.
Secret Twin|Vulcan Cannon,Ticket|Holding Vulcan Cannon and using Ticket spawns two friendly Gatling Gulls instead of one.
Serious Sam Publishing Contract|Serious Cannon,Devolver|Alongside the standard cannonball, Serious Cannon fires a screaming man who chases enemies and explodes on contact. Serious Cannon also gains a chance to "Devolve" enemies.
Shadow Warrior|Zilla Shotgun,Yari Launcher|A Demon Head orbits the player while they have one of the guns held. When they reload one of them, the orbiting Demon Head fires at nearby enemies. Reduces the guns' spread by 60%, increasing their accuracy.
Shell-A-Ton|Baby Good Shelleton,Shelleton Key|Baby Good Shelleton moves and shoots much faster.
Shield Night|Knight&#39;s Gun,Shield of the Maiden|Reloading Knight's Gun places a shield, similar to Betrayer's Shield.
Shotgun Affinity|Shotgun Coffee,Shotga Cola|All weapons in the SHOTGUN gun class gain piercing, increased knockback, and increased shot speed. Shotgun style weapons that aren't in the SHOTGUN class, such as the Shotgun Full of Love or Tangler are not affected.
Siren Sidearm|Siren,Barrel|The first shot of every Siren magazine fires two fish. Every Barrel shot fires a Siren water bubble.
Slings and Arrows|Bow,Sling|Bow can be charged longer to fire a special arrow that deals 50 damage.
Sleuth Out|Scope,38 Special|While held, decreases enemy projectile speed by 20%, but decreases 38 Special's rate of fire by 20%.
Smile, you son of a...|Compressed Air Tank,M1|Compressed Air Tank's sharks will explode upon biting an enemy. These explosions can damage the player.
Snicker-snack|Excaliber,Vorpal Bullets|Excaliber fires a spread of 3 homing shots that deal 20% less damage.
Snowball Shotgun|Snowballer,Snowballets|Snowballer fires multiple snowballs at once in a shotgun spread with lowered rate of fire.
Soft Air|JK-47,Sponge|When holding JK-47, the player regains ammo when walking over liquids. Increases range that reloading causes fear.
Softshell|Brick Breaker,Stuffed Star|While Stuffed Star is active, Brick Breaker shells are continually fired in random directions.
Solar Flare|Mr. Accretion Jr.,Flare Gun|Flare Gun pierces enemies and explodes when hitting a wall.
some even larger number|Quad Laser,Triple Gun|Killing an enemy with Triple Gun shoots a Quad Laser bullet from where the enemy died.
Space Best Friend|Space Friend,Alien Engine|Space Friend fires at a much faster rate.
Spartan Loadout|Cat Claw,Alien Sidearm|Cat Claw pierces enemies, attaching its explosive to every enemy hit. Alien Sidearm can be charged twice to fire a more powerful shot.
Spelunker|Blast Helmet,Gunboots|Replaces the bullet spread of Gunboots with a short-ranged explosion.
